,index,movieId,title,genres,databaseId
5193,5193,1285,Heathers (1989),Comedy|Crime,152496
5188,5188,122906,Black Panther (2018),Action|Adventure|Sci-Fi,204974
5181,5181,71379,Paranormal Activity (2007),Horror|Mystery|Thriller,127673
5182,5182,6874,Kill Bill,Action|Crime|Thriller,166069
5187,5187,5323,Jason X (2001),Action|Horror|Sci-Fi|Thriller,150352
5186,5186,3996,"Crouching Tiger, Hidden Dragon (2000)",Action|Adventure|Fantasy|Romance,114909
5178,5178,122912,Avengers: Infinity War (2018),Action|Adventure|Sci-Fi,205163
5179,5179,122926,Spider-Man: Homecoming (2017),Action|Adventure|Sci-Fi,136632
5183,5183,750,Dr. Strangelove (1964),Comedy,87490
5184,5184,2716,Ghostbusters (1984),Action|Comedy|Fantasy,136983
5185,5185,69524,Raiders of the Lost Ark (1981),Action|Adventure,101775
5186,5186,69525,Why Him (2016),Comedy,100493
0,0,1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,80067
1,1,2,Jumanji (1995),Adventure|Children|Fantasy,106233
2,2,3,Grumpier Old Men (1995),Comedy|Romance,165453
3,3,4,Waiting to Exhale (1995),Comedy|Drama|Romance,114048
4,4,5,Father of the Bride Part II (1995),Comedy,90583
5,5,6,Heat (1995),Action|Crime|Thriller,176314
6,6,7,Sabrina (1995),Comedy|Romance,139199
7,7,8,Tom and Huck (1995),Adventure|Children,200075
8,9,10,GoldenEye (1995),Action|Adventure|Thriller,202936
9,10,11,"American President, The (1995)",Comedy|Drama|Romance,198226
10,11,12,Dracula: Dead and Loving It (1995),Comedy|Horror,168434
11,12,13,Balto (1995),Adventure|Animation|Children,180423
12,14,15,Cutthroat Island (1995),Action|Adventure|Romance,134328
13,15,16,Casino (1995),Crime|Drama,150957
14,16,17,Sense and Sensibility (1995),Drama|Romance,140537
15,17,18,Four Rooms (1995),Comedy,105952
16,18,19,Ace Ventura: When Nature Calls (1995),Comedy,187566
17,19,20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,100498
18,20,21,Get Shorty (1995),Comedy|Crime|Thriller,163190
19,21,22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,193523
20,22,23,Assassins (1995),Action|Crime|Thriller,172599
21,23,24,Powder (1995),Drama|Sci-Fi,151866
22,24,25,Leaving Las Vegas (1995),Drama|Romance,129679
23,26,27,Now and Then (1995),Children|Drama,126211
24,30,31,Dangerous Minds (1995),Drama,120592
25,33,34,Babe (1995),Children|Drama,185733
26,35,36,Dead Man Walking (1995),Crime|Drama,179770
27,38,39,Clueless (1995),Comedy|Romance,143623
28,41,42,Dead Presidents (1995),Action|Crime|Drama,157259
29,43,44,Mortal Kombat (1995),Action|Adventure|Fantasy,173510
30,44,45,To Die For (1995),Comedy|Drama|Thriller,187373
31,47,48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,87115
32,49,50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,141578
33,53,54,"Big Green, The (1995)",Children|Comedy,139584
34,59,60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,149885
35,61,62,Mr. Holland's Opus (1995),Drama,83757
37,64,65,Bio-Dome (1996),Comedy,118637
38,68,69,Friday (1995),Comedy,149514
39,69,69,Friday (1995),Comedy,81162
40,72,72,Kicking and Screaming (1995),Comedy|Drama,111831
41,74,74,Bed of Roses (1996),Drama|Romance,108121
42,76,76,Screamers (1995),Action|Sci-Fi|Thriller,116700
43,79,79,"Juror, The (1996)",Drama|Thriller,133381
44,81,81,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,175355
45,87,87,Dunston Checks In (1996),Children|Comedy,156695
46,88,88,Black Sheep (1996),Comedy,86168
47,89,89,Nick of Time (1995),Action|Thriller,115518
48,91,92,Mary Reilly (1996),Drama|Horror|Thriller,125540
49,100,101,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,169786
50,101,102,Mr. Wrong (1996),Comedy,100183
51,103,104,Happy Gilmore (1996),Comedy,150451
52,104,105,"Bridges of Madison County, The (1995)",Drama|Romance,147610
53,106,107,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical,125687
54,109,110,Braveheart (1995),Action|Drama|War,114932
55,110,111,Taxi Driver (1976),Crime|Drama|Thriller,152521
56,134,135,Down Periscope (1996),Comedy,167763
57,139,140,Up Close and Personal (1996),Drama|Romance,98879
58,140,141,"Birdcage, The (1996)",Comedy,115516
59,144,145,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller,101691
60,145,145,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller,106674
61,147,147,"Basketball Diaries, The (1995)",Drama,141107
62,150,150,Apollo 13 (1995),Adventure|Drama|IMAX,129037
63,151,151,Rob Roy (1995),Action|Drama|Romance|War,139122
64,153,153,Batman Forever (1995),Action|Adventure|Comedy|Crime,86397
65,158,158,Casper (1995),Adventure|Children,91293
66,160,160,Congo (1995),Action|Adventure|Mystery|Sci-Fi,178933
67,161,161,Crimson Tide (1995),Drama|Thriller|War,136831
68,163,163,Desperado (1995),Action|Romance|Western,199642
69,164,164,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller,170268
70,168,168,First Knight (1995),Action|Drama|Romance,186014
71,169,169,Free Willy 2: The Adventure Home (1995),Adventure|Children|Drama,202835
72,173,173,Judge Dredd (1995),Action|Crime|Sci-Fi,167343
73,174,174,Jury Duty (1995),Comedy,171508
74,175,175,Kids (1995),Drama,144433
75,177,177,Lord of Illusions (1995),Horror,202256
76,180,180,Mallrats (1995),Comedy|Romance,128454
77,185,185,"Net, The (1995)",Action|Crime|Thriller,86449
78,186,186,Nine Months (1995),Comedy|Romance,181617
79,188,188,"Prophecy, The (1995)",Fantasy|Horror|Mystery,82001
80,193,193,Showgirls (1995),Drama,126922
81,195,195,Something to Talk About (1995),Comedy|Drama|Romance,129935
82,196,196,Species (1995),Horror|Sci-Fi,179596
83,198,198,Strange Days (1995),Action|Crime|Drama|Mystery|Sci-Fi|Thriller,117898
84,202,202,Total Eclipse (1995),Drama|Romance,174038
85,203,203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy,120673
86,207,207,"Walk in the Clouds, A (1995)",Drama|Romance,131832
87,208,208,Waterworld (1995),Action|Adventure|Sci-Fi,193821
88,215,215,Before Sunrise (1995),Drama|Romance,161326
89,216,216,Billy Madison (1995),Comedy,181301
90,217,217,"Babysitter, The (1995)",Drama|Thriller,85303
91,218,218,Boys on the Side (1995),Comedy|Drama,193514
92,219,219,"Cure, The (1995)",Drama,122863
93,222,223,Clerks (1994),Comedy,77788
94,226,227,Drop Zone (1994),Action|Thriller,179631
95,234,235,Ed Wood (1994),Comedy|Drama,78076
96,235,236,French Kiss (1995),Action|Comedy|Romance,112203
97,236,237,Forget Paris (1995),Comedy|Romance,117188
98,238,239,"Goofy Movie, A (1995)",Animation|Children|Comedy|Romance,174626
99,242,243,Gordy (1995),Children|Comedy|Fantasy,195867
100,245,246,Hoop Dreams (1994),Documentary,163975
101,248,249,Immortal Beloved (1994),Drama|Romance,126740
102,250,251,"Hunted, The (1995)",Action,147404
103,256,257,Just Cause (1995),Mystery|Thriller,133065
104,257,258,"Kid in King Arthur's Court, A (1995)",Adventure|Children|Comedy|Fantasy|Romance,151769
105,260,261,Little Women (1994),Drama,156063
106,261,262,"Little Princess, A (1995)",Children|Drama,114157
107,265,266,Legends of the Fall (1994),Drama|Romance|War|Western,160457
