,movieId,rating_mean,title,genres,databaseId
0,1,3.89,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,80067
68462,2,3.25,Jumanji (1995),Adventure|Children|Fantasy,106233
95605,3,3.17,Grumpier Old Men (1995),Comedy|Romance,165453
111187,4,2.87,Waiting to Exhale (1995),Comedy|Drama|Romance,114048
114176,5,3.08,Father of the Bride Part II (1995),Comedy,90583
129649,6,3.84,Heat (1995),Action|Crime|Thriller,176314
158332,7,3.37,Sabrina (1995),Comedy|Romance,139199
173631,8,3.12,Tom and Huck (1995),Adventure|Children,200075
175170,10,3.43,GoldenEye (1995),Action|Adventure|Thriller,202936
208252,11,3.66,"American President, The (1995)",Comedy|Drama|Romance,198226
227917,12,2.67,Dracula: Dead and Loving It (1995),Comedy|Horror,168434
232441,13,3.34,Balto (1995),Adventure|Animation|Children,180423
234393,15,2.73,Cutthroat Island (1995),Action|Adventure|Romance,134328
237547,16,3.8,Casino (1995),Crime|Drama,150957
258711,17,3.95,Sense and Sensibility (1995),Drama|Romance,140537
283262,18,3.41,Four Rooms (1995),Comedy,105952
289516,19,2.64,Ace Ventura: When Nature Calls (1995),Comedy,187566
314424,20,2.89,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,100498
319082,21,3.57,Get Shorty (1995),Comedy|Crime|Thriller,163190
344778,22,3.3,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,193523
355913,23,3.16,Assassins (1995),Action|Crime|Thriller,172599
360784,24,3.18,Powder (1995),Drama|Sci-Fi,151866
369975,25,3.67,Leaving Las Vegas (1995),Drama|Romance,129679
394814,27,3.43,Now and Then (1995),Children|Drama,126211
396690,31,3.24,Dangerous Minds (1995),Drama,120592
408491,34,3.61,Babe (1995),Children|Drama,185733
444392,36,3.93,Dead Man Walking (1995),Crime|Drama,179770
468346,39,3.42,Clueless (1995),Comedy|Romance,143623
497765,42,3.05,Dead Presidents (1995),Action|Crime|Drama,157259
500385,44,2.63,Mortal Kombat (1995),Action|Adventure|Fantasy,173510
513482,45,3.37,To Die For (1995),Comedy|Drama|Thriller,187373
523199,48,2.96,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,87115
539557,50,4.29,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,141578
601734,54,2.85,"Big Green, The (1995)",Children|Comedy,139584
602798,60,3.07,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,149885
610398,62,3.75,Mr. Holland's Opus (1995),Drama,83757
636497,65,2.4,Bio-Dome (1996),Comedy,118637
642332,69,3.55,Friday (1995),Comedy,149514
652766,72,3.48,Kicking and Screaming (1995),Comedy|Drama,111831
654100,74,3.3,Bed of Roses (1996),Drama|Romance,108121
657930,76,3.02,Screamers (1995),Action|Sci-Fi|Thriller,116700
661656,79,3.16,"Juror, The (1996)",Drama|Thriller,133381
667996,81,3.27,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,175355
671445,87,2.41,Dunston Checks In (1996),Children|Comedy,156695
672557,88,3.13,Black Sheep (1996),Comedy,86168
678464,89,3.13,Nick of Time (1995),Action|Thriller,115518
681953,92,2.85,Mary Reilly (1996),Drama|Horror|Thriller,125540
684414,101,3.77,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,169786
689367,102,2.43,Mr. Wrong (1996),Comedy,100183
691508,104,3.39,Happy Gilmore (1996),Comedy,150451
713755,105,3.33,"Bridges of Madison County, The (1995)",Drama|Romance,147610
725039,107,3.2,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical,125687
733161,110,4.01,Braveheart (1995),Action|Drama|War,114932
801959,111,4.09,Taxi Driver (1976),Crime|Drama|Thriller,152521
834841,135,3.0,Down Periscope (1996),Comedy,167763
842578,140,3.31,Up Close and Personal (1996),Drama|Romance,98879
848227,141,3.52,"Birdcage, The (1996)",Comedy,115516
874266,145,3.28,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller,101691
904906,147,3.6,"Basketball Diaries, The (1995)",Drama,141107
909993,150,3.88,Apollo 13 (1995),Adventure|Drama|IMAX,129037
968653,151,3.52,Rob Roy (1995),Action|Drama|Romance|War,139122
982252,153,2.9,Batman Forever (1995),Action|Adventure|Comedy|Crime,86397
1020893,158,2.89,Casper (1995),Adventure|Children,91293
1036768,160,2.61,Congo (1995),Action|Adventure|Mystery|Sci-Fi,178933
1052762,161,3.75,Crimson Tide (1995),Drama|Thriller|War,136831
1079077,163,3.43,Desperado (1995),Action|Romance|Western,199642
1096243,164,3.46,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller,170268
1100851,168,3.06,First Knight (1995),Action|Drama|Romance,186014
1114596,169,2.3,Free Willy 2: The Adventure Home (1995),Adventure|Children|Drama,202835
1118658,173,2.54,Judge Dredd (1995),Action|Crime|Sci-Fi,167343
1135789,174,2.45,Jury Duty (1995),Comedy,171508
1138015,175,3.52,Kids (1995),Drama,144433
1143798,177,2.89,Lord of Illusions (1995),Horror,202256
1146208,180,3.57,Mallrats (1995),Comedy|Romance,128454
1155934,185,3.12,"Net, The (1995)",Action|Crime|Thriller,86449
1182735,186,2.87,Nine Months (1995),Comedy|Romance,181617
1195795,188,3.33,"Prophecy, The (1995)",Fantasy|Horror|Mystery,82001
1198502,193,2.25,Showgirls (1995),Drama,126922
1207439,195,3.09,Something to Talk About (1995),Comedy|Drama|Romance,129935
1210825,196,2.83,Species (1995),Horror|Sci-Fi,179596
